"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Oct-2022","EQ","398.41","404.99","398.41","398.16","399.84","400.29","401.17","429.70","322.03","49,010","1,96,61,118.94","1,789"
"04-Oct-2022","EQ","393.73","398.36","393.73","387.40","398.36","398.16","397.10","429.70","322.03","82,203","3,26,42,856.08","443"
"03-Oct-2022","EQ","399.99","399.99","386.00","393.00","387.58","387.40","388.81","429.70","322.03","1,24,691","4,84,80,596.93","677"
"30-Sep-2022","EQ","399.69","399.69","380.31","383.02","392.17","393.00","388.20","429.70","322.03","39,241","1,52,33,211.81","593"
"29-Sep-2022","EQ","388.89","389.46","381.30","384.33","382.72","383.02","384.22","429.70","322.03","93,322","3,58,56,451.68","541"
"28-Sep-2022","EQ","390.97","390.97","383.28","391.45","384.00","384.33","386.80","429.70","322.03","1,49,213","5,77,16,230.50","756"
"27-Sep-2022","EQ","393.22","396.59","389.40","392.60","392.55","391.45","392.15","429.70","322.03","2,08,057","8,15,89,298.97","638"
"26-Sep-2022","EQ","404.87","404.87","391.97","402.68","393.47","392.60","393.89","429.70","322.03","1,97,668","7,78,59,876.08","880"
"23-Sep-2022","EQ","411.89","411.89","401.51","412.24","403.00","402.68","403.63","429.70","322.03","99,648","4,02,20,979.85","1,037"
"22-Sep-2022","EQ","417.00","417.80","410.91","418.02","412.42","412.24","413.81","429.70","322.03","1,50,488","6,22,72,913.92","684"
"21-Sep-2022","EQ","421.02","421.99","414.76","421.02","417.73","418.02","417.27","429.70","322.03","1,40,663","5,86,94,473.33","526"
"20-Sep-2022","EQ","418.82","422.70","418.82","415.22","420.00","421.02","421.35","429.70","322.03","1,98,102","8,34,69,721.34","676"
"19-Sep-2022","EQ","421.27","421.27","412.03","414.28","415.30","415.22","415.01","429.70","322.03","1,13,883","4,72,62,070.84","559"
"16-Sep-2022","EQ","419.99","419.99","411.31","418.23","413.70","414.28","414.69","429.70","298.90","82,701","3,42,95,408.20","683"
"15-Sep-2022","EQ","420.99","423.99","417.45","421.16","417.45","418.23","419.61","429.70","298.90","1,65,910","6,96,17,238.15","1,029"
"14-Sep-2022","EQ","413.69","422.50","410.71","415.59","421.00","421.16","419.99","429.70","298.90","1,76,893","7,42,92,574.74","713"
"13-Sep-2022","EQ","415.94","415.94","412.35","411.74","415.55","415.59","414.26","429.70","298.90","95,725","3,96,55,274.96","1,129"
"12-Sep-2022","EQ","413.29","413.29","410.50","410.86","411.75","411.74","411.98","429.70","298.90","2,11,280","8,70,43,442.17","4,184"
